RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  166  171     0     0  con    0  1.0D+00  4.5D-01  3.392D+00 -1.791D+02
  167  172     0     0  con    0  1.0D+00  1.2D+00  4.880D+00 -1.800D+02
  168  173     0     0  con    0  1.0D+00  5.0D-01  2.012D+00 -1.814D+02
  169  174     0     0  con    0  1.0D+00  1.7D-01  1.020D+00 -1.820D+02
  170  175     0     0  con    0  1.0D+00  3.9D-01  1.200D+00 -1.827D+02
  171  176     0     0  con    0  1.0D+00  6.9D-01  7.330D+00 -1.836D+02
  172  177     0     0  con    0  1.0D+00  6.9D-01  3.233D+00 -1.849D+02
  173  178     0     0  con    0  1.0D+00  7.0D-01  1.026D+00 -1.860D+02
  174  179     0     0  con    0  1.0D+00  7.5D-01  3.790D+00 -1.871D+02
  175  180     0     0  con    0  1.0D+00  1.3D+00  1.155D+01 -1.877D+02
  176  181     0     0  con    0  1.0D+00  1.3D-01  2.613D+00 -1.888D+02
  177  182     0     0  con    0  1.0D+00  9.2D-02  2.058D+00 -1.894D+02
  178  183     0     0  con    0  1.0D+00  3.1D-01  3.426D+00 -1.901D+02
  179  184     0     0  con    0  1.0D+00  8.9D-01  7.636D+00 -1.914D+02
  180  185     0     0  con    0  1.0D+00  1.3D+00  8.872D+00 -1.921D+02
  181  186     0     0  con    0  1.0D+00  6.2D-02  1.930D+00 -1.931D+02
  182  187     0     0  con    0  1.0D+00  1.1D-01  1.646D+00 -1.936D+02
  183  188     0     0  con    0  1.0D+00  2.9D-01  2.703D+00 -1.941D+02
  184  189     0     0  con    0  1.0D+00  9.7D-01  7.385D+00 -1.951D+02
  185  190     0     0  con    0  1.0D+00  9.1D-01  2.972D+00 -1.960D+02
  186  191     0     0  con    0  1.0D+00  1.9D-01  8.371D-01 -1.964D+02
  187  192     0     0  con    0  1.0D+00  2.5D-01  1.095D+00 -1.968D+02
  188  193     0     0  con    0  1.0D+00  3.1D-01  3.874D+00 -1.971D+02
  189  194     0     0  con    0  1.0D+00  3.5D-01  2.101D+00 -1.976D+02
  190  195     0     0  con    0  1.0D+00  5.0D-01  1.227D+00 -1.982D+02
  191  197     0     0  con    1  5.1D-01  3.2D-01  4.012D+00 -1.985D+02
  192  198     0     0  con    0  1.0D+00  2.2D-01  1.313D+00 -1.988D+02
  193  199     0     0  con    0  1.0D+00  1.2D-01  6.780D-01 -1.990D+02
  194  200     0     0  con    0  1.0D+00  2.4D-01  3.094D+00 -1.993D+02
  195  201     0     0  con    0  1.0D+00  1.9D-01  1.724D+00 -1.996D+02
  196  202     0     0  con    0  1.0D+00  1.0D-01  6.372D-01 -1.998D+02
  197  203     0     0  con    0  1.0D+00  2.2D-01  1.126D+00 -2.001D+02
  198  204     0     0  con    0  1.0D+00  1.4D-01  1.326D+00 -2.003D+02
  199  205     0     0  con    0  1.0D+00  8.8D-02  1.056D+00 -2.004D+02
  200  206     0     0  con    0  1.0D+00  3.6D-01  2.207D+00 -2.006D+02
  201  207     0     0  con    0  1.0D+00  1.2D-01  1.701D+00 -2.008D+02
  202  208     0     0  con    0  1.0D+00  1.7D-02  7.974D-01 -2.008D+02
  203  209     0     0  con    0  1.0D+00  1.6D-01  3.725D-01 -2.010D+02
  204  210     0     0  con    0  1.0D+00  2.7D-01  1.977D+00 -2.012D+02
  205  211     0     0  con    0  1.0D+00  4.0D-01  2.080D+00 -2.015D+02
  206  212     0     0  con    0  1.0D+00  5.2D-01  3.894D+00 -2.016D+02
  207  213     0     0  con    0  1.0D+00  6.6D-02  1.113D+00 -2.019D+02
  208  214     0     0  con    0  1.0D+00  8.6D-02  1.285D+00 -2.022D+02
  209  215     0     0  con    0  1.0D+00  2.2D-01  1.795D+00 -2.025D+02
  210  216     0     0  con    0  1.0D+00  4.4D-01  4.607D+00 -2.029D+02
  211  217     0     0  con    0  1.0D+00  6.9D-01  2.333D+00 -2.035D+02
  212  218     0     0  con    0  1.0D+00  3.7D-01  8.554D-01 -2.040D+02
  213  219     0     0  con    0  1.0D+00  6.3D-01  2.322D+00 -2.045D+02
  214  220     0     0  con    0  1.0D+00  4.1D-01  4.325D+00 -2.048D+02
  215  221     0     0  con    0  1.0D+00  6.4D-02  2.333D+00 -2.052D+02
  216  222     0     0  con    0  1.0D+00  5.9D-01  1.627D+00 -2.059D+02
  217  223     0     0  con    0  1.0D+00  4.7D-01  2.632D+00 -2.064D+02
  218  224     0     0  con    0  1.0D+00  1.7D+00  5.360D+00 -2.070D+02
  219  225     0     0  con    0  1.0D+00  3.8D-01  2.877D+00 -2.077D+02
  220  226     0     0  con    0  1.0D+00  6.0D-02  2.572D+00 -2.081D+02
  221  227     0     0  con    0  1.0D+00  5.7D-01  2.323D+00 -2.090D+02
  222  228     0     0  con    0  1.0D+00  1.6D+00  8.447D+00 -2.093D+02
